net,length_um
_01047_,5.865µm
_01871_,5.86µm
_02038_,5.86µm
_02967_,5.86µm
_03973_,5.86µm
_04449_,5.86µm
_04922_,5.86µm
_04978_,5.86µm
_05136_,5.86µm
_05920_,5.86µm
u_interface.meta_tlast_pipe\[10\],5.86µm
net45,5.86µm
_00647_,5.845µm
_00685_,5.845µm
_00906_,5.84µm
_00930_,5.84µm
_01466_,5.84µm
_01923_,5.84µm
_01946_,5.84µm
_02426_,5.84µm
_03044_,5.84µm
_04995_,5.84µm
_05147_,5.84µm
_05594_,5.84µm
_05603_,5.84µm
_05621_,5.84µm
_05666_,5.84µm
_05877_,5.84µm
u_interface.fifo_data\[0\]\[29\],5.84µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s2_sign,5.84µm
net40,5.84µm
net1256,5.84µm
net1393,5.84µm
_01168_,5.82µm
_02161_,5.82µm
_02453_,5.82µm
_02598_,5.82µm
_03473_,5.82µm
_04105_,5.82µm
_04459_,5.82µm
_04484_,5.82µm
_04736_,5.82µm
_05403_,5.82µm
_05409_,5.82µm
_05737_,5.82µm
_05856_,5.82µm
_06090_,5.82µm
_06197_,5.82µm
u_interface.u_gelu_fp32.u_synth_top.s1_x\[8\],5.82µm
net1641,5.82µm
_00495_,5.805µm
_00997_,5.8µm
_01817_,5.8µm
_02351_,5.8µm
_02586_,5.8µm
_02646_,5.8µm
_03374_,5.8µm
_03472_,5.8µm
_03553_,5.8µm
_04260_,5.8µm
_04907_,5.8µm
_05154_,5.8µm
_05738_,5.8µm
_05997_,5.8µm
_00801_,5.785µm
_01451_,5.78µm
_01105_,5.77µm
_00060_,5.765µm
_00113_,5.765µm
_00174_,5.765µm
_00176_,5.765µm
_00316_,5.765µm
_00700_,5.765µm
net914,5.765µm
_01773_,5.74µm
_01961_,5.74µm
_02218_,5.74µm
_03138_,5.74µm
_05654_,5.74µm
_06238_,5.74µm
u_interface.u_gelu_fp32.u_synth_top.s3_b\[1\],5.74µm
_00552_,5.725µm
_01254_,5.72µm
_01709_,5.72µm
_02032_,5.72µm
_02186_,5.72µm
_02201_,5.72µm
_02541_,5.72µm
_02617_,5.72µm
_03089_,5.72µm
_03092_,5.72µm
_03136_,5.72µm
_03376_,5.72µm
_03774_,5.72µm
_03932_,5.72µm
_04134_,5.72µm
_04256_,5.72µm
_04350_,5.72µm
_04427_,5.72µm
_04457_,5.72µm
_04493_,5.72µm
_04659_,5.72µm
_04970_,5.72µm
_05044_,5.72µm
_05293_,5.72µm
_05313_,5.72µm
_05736_,5.72µm
_06029_,5.72µm
_06242_,5.72µm
_06252_,5.72µm
_06297_,5.72µm
_06400_,5.72µm
u_interface.u_gelu_fp32.s1_data\[12\],5.72µm
u_interface.u_gelu_fp32.s2_data\[15\],5.72µm
u_interface.u_gelu_fp32.s2_data\[27\],5.72µm
u_interface.u_gelu_fp32.u_synth_top.s3_mult\[35\],5.72µm
net8,5.72µm
net1192,5.72µm
net1666,5.72µm
_02557_,5.7µm
_02602_,5.7µm
_03729_,5.7µm
_04422_,5.7µm
_04671_,5.7µm
_05344_,5.7µm
_05602_,5.7µm
_06183_,5.7µm
_00029_,5.695µm
_01393_,5.68µm
_01408_,5.68µm
_01433_,5.68µm
_02145_,5.68µm
_02200_,5.68µm
_02877_,5.68µm
_03095_,5.68µm
_03104_,5.68µm
_03128_,5.68µm
_03375_,5.68µm
_03648_,5.68µm
_03674_,5.68µm
_03809_,5.68µm
_03858_,5.68µm
_04310_,5.68µm
_04317_,5.68µm
_04843_,5.68µm
_04940_,5.68µm
_05245_,5.68µm
_05798_,5.68µm
_05968_,5.68µm
_06237_,5.68µm
_06492_,5.68µm
u_interface.u_gelu_fp32.s2_data\[14\],5.68µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s1_sign,5.68µm
net1204,5.68µm
net1412,5.68µm
net1494,5.68µm
_01037_,5.675µm
_00124_,5.645µm
_00234_,5.645µm
_00402_,5.625µm
_00819_,5.62µm
_02543_,5.62µm
_03170_,5.62µm
_03877_,5.62µm
_04025_,5.62µm
_05124_,5.62µm
_06185_,5.62µm
_06485_,5.62µm
net1012,5.62µm
net1353,5.62µm
net1437,5.62µm
_04821_,5.61µm
_00195_,5.605µm
_00699_,5.605µm
_02592_,5.6µm
_02639_,5.6µm
_03038_,5.6µm
_03307_,5.6µm
_03487_,5.6µm
_03663_,5.6µm
_03992_,5.6µm
_04146_,5.6µm
_04873_,5.6µm
_04941_,5.6µm
_05247_,5.6µm
_05424_,5.6µm
_05722_,5.6µm
_05742_,5.6µm
_05797_,5.6µm
_06010_,5.6µm
_06225_,5.6µm
u_interface.fifo_data\[15\]\[12\],5.6µm
u_interface.fifo_data\[15\]\[14\],5.6µm
u_interface.fifo_data\[5\]\[2\],5.6µm
u_interface.u_gelu_fp32.s2_data\[26\],5.6µm
u_interface.u_gelu_fp32.u_synth_top.s3_b\[13\],5.6µm
u_interface.u_gelu_fp32.u_synth_top.s3_b\[5\],5.6µm
_00025_,5.58µm
_00037_,5.58µm
_00460_,5.58µm
_00635_,5.58µm
_00767_,5.58µm
_01024_,5.58µm
_01192_,5.58µm
_01562_,5.58µm
_02689_,5.58µm
_05591_,5.58µm
net979,5.58µm
net1057,5.58µm
net1599,5.58µm
_01355_,5.56µm
_03580_,5.56µm
_04936_,5.56µm
_05679_,5.56µm
_06094_,5.56µm
_00171_,5.555µm
_00649_,5.555µm
_00343_,5.545µm
_00408_,5.545µm
_00575_,5.545µm
_00610_,5.545µm
net1073,5.525µm
_03116_,5.52µm
_05542_,5.52µm
_06452_,5.52µm
net1408,5.52µm
net1439,5.52µm
net1467,5.52µm
net1601,5.52µm
_00052_,5.505µm
_00273_,5.505µm
_00357_,5.505µm
_00535_,5.505µm
_00584_,5.505µm
_00648_,5.505µm
_00773_,5.505µm
_00845_,5.505µm
net1693,5.505µm
_02867_,5.5µm
_03057_,5.5µm
_03191_,5.5µm
_05027_,5.5µm
_05859_,5.5µm
_06313_,5.5µm
u_interface.u_gelu_fp32.u_synth_top.s3_mult\[29\],5.5µm
_01776_,5.48µm
_02798_,5.48µm
_02839_,5.48µm
_02879_,5.48µm
_03196_,5.48µm
_03203_,5.48µm
_03638_,5.48µm
_04981_,5.48µm
_05026_,5.48µm
_05086_,5.48µm
_05232_,5.48µm
_05635_,5.48µm
u_interface.u_gelu_fp32.s2_data\[18\],5.48µm
net1669,5.48µm
_00071_,5.475µm
_00416_,5.475µm
_03392_,5.475µm
_01388_,5.46µm
_01905_,5.46µm
_03650_,5.46µm
_05425_,5.46µm
net1395,5.46µm
_03132_,5.44µm
_03260_,5.44µm
_00078_,5.435µm
_00588_,5.435µm
_00628_,5.435µm
_00650_,5.435µm
_00663_,5.435µm
_01069_,5.435µm
net1178,5.435µm
net1246,5.435µm
u_interface.u_gelu_fp32.u_synth_top.s3_mult\[41\],5.41µm
_02018_,5.405µm
net1605,5.405µm
_01350_,5.4µm
_02404_,5.4µm
_02429_,5.4µm
_02772_,5.4µm
_03103_,5.4µm
_03885_,5.4µm
_03926_,5.4µm
_04356_,5.4µm
_04385_,5.4µm
_04393_,5.4µm
_04743_,5.4µm
_04869_,5.4µm
_04998_,5.4µm
_05042_,5.4µm
_05327_,5.4µm
_05775_,5.4µm
_05941_,5.4µm
_02331_,5.38µm
_02568_,5.38µm
_02709_,5.38µm
_03084_,5.38µm
_03294_,5.38µm
_04004_,5.38µm
_04762_,5.38µm
_04960_,5.38µm
_05474_,5.38µm
_05628_,5.38µm
_05696_,5.38µm
_05755_,5.38µm
_06013_,5.38µm
_06092_,5.38µm
_06434_,5.38µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s3_is_zero,5.38µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s1_valid,5.38µm
net22,5.38µm
net1450,5.38µm
net1775,5.38µm
_00713_,5.365µm
_02581_,5.36µm
_04720_,5.36µm
_05921_,5.36µm
_05971_,5.36µm
_06228_,5.36µm
_06304_,5.36µm
_00860_,5.355µm
_00448_,5.345µm
_00711_,5.345µm
_00831_,5.345µm
_00904_,5.34µm
_00999_,5.34µm
_01567_,5.34µm
_01914_,5.34µm
_01915_,5.34µm
_02102_,5.34µm
_02449_,5.34µm
_02701_,5.34µm
_02722_,5.34µm
_02759_,5.34µm
_03927_,5.34µm
_04290_,5.34µm
_04375_,5.34µm
_04591_,5.34µm
_04722_,5.34µm
_04789_,5.34µm
_06035_,5.34µm
_06292_,5.34µm
_06449_,5.34µm
u_interface.fifo_tlast\[0\],5.34µm
u_interface.meta_tlast_pipe\[0\],5.34µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s2_exp\[5\],5.34µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s2_valid,5.34µm
net1506,5.34µm
net1538,5.34µm
net1635,5.34µm
_00177_,5.325µm
_00805_,5.325µm
_00451_,5.315µm
_00553_,5.315µm
net1384,5.315µm
_00130_,5.305µm
_00202_,5.305µm
_00476_,5.305µm
_00853_,5.305µm
_00929_,5.305µm
net851,5.29µm
net834,5.29µm
net839,5.29µm
s_axis_tdata[28],5.29µm
net1608,5.29µm
_01925_,5.28µm
_02111_,5.28µm
_02156_,5.28µm
_03850_,5.28µm
_04131_,5.28µm
_04279_,5.28µm
_04499_,5.28µm
_04695_,5.28µm
_04902_,5.28µm
_05677_,5.28µm
_06004_,5.28µm
_00440_,5.265µm
_00563_,5.265µm
_00568_,5.265µm
_01179_,5.26µm
_01214_,5.26µm
_01297_,5.26µm
_01863_,5.26µm
_02168_,5.26µm
_02273_,5.26µm
_02603_,5.26µm
_02698_,5.26µm
_02922_,5.26µm
_03256_,5.26µm
_03284_,5.26µm
_03852_,5.26µm
_04002_,5.26µm
_04557_,5.26µm
_04829_,5.26µm
_05028_,5.26µm
_05437_,5.26µm
_05503_,5.26µm
_05576_,5.26µm
_05822_,5.26µm
_05855_,5.26µm
_05944_,5.26µm
_05951_,5.26µm
_06027_,5.26µm
u_interface.u_gelu_fp32.u_synth_top.s3_mult\[32\],5.26µm
net77,5.26µm
net98,5.26µm
net1122,5.26µm
net1134,5.26µm
net1141,5.26µm
net1308,5.26µm
net1374,5.26µm
net1632,5.26µm
_02059_,5.255µm
_00820_,5.245µm
_00830_,5.245µm
_03119_,5.245µm
_03819_,5.24µm
_03881_,5.24µm
_04850_,5.24µm
_05820_,5.24µm
net884,5.24µm
net889,5.24µm
_01231_,5.22µm
_01375_,5.22µm
_01467_,5.22µm
_01700_,5.22µm
_01716_,5.22µm
_01918_,5.22µm
_01921_,5.22µm
_02080_,5.22µm
_02188_,5.22µm
_02216_,5.22µm
_02366_,5.22µm
_04046_,5.22µm
_06259_,5.22µm
_06448_,5.22µm
u_interface.u_gelu_fp32.s2_data\[8\],5.22µm
net1086,5.22µm
net1224,5.22µm
net1366,5.22µm
_05994_,5.2µm
_00370_,5.185µm
_00688_,5.165µm
_00621_,5.16µm
_00795_,5.16µm
_01995_,5.16µm
_03892_,5.16µm
net1109,5.16µm
net1146,5.16µm
net1162,5.16µm
net1532,5.16µm
net1663,5.16µm
_02577_,5.14µm
_02779_,5.14µm
_02962_,5.14µm
_03185_,5.14µm
_04242_,5.14µm
_04605_,5.14µm
_04740_,5.14µm
_04761_,5.14µm
_04861_,5.14µm
_04925_,5.14µm
_05053_,5.14µm
_05290_,5.14µm
_05348_,5.14µm
_05506_,5.14µm
_05585_,5.14µm
_05948_,5.14µm
_06140_,5.14µm
_06165_,5.14µm
_06217_,5.14µm
_06273_,5.14µm
_06317_,5.14µm
net173,5.14µm
_02538_,5.12µm
_02688_,5.12µm
_03255_,5.12µm
_03707_,5.12µm
_04412_,5.12µm
_04908_,5.12µm
_05663_,5.12µm
_05939_,5.12µm
_06409_,5.12µm
net75,5.12µm
net960,5.12µm
net963,5.12µm
net1083,5.12µm
net1148,5.12µm
net1153,5.12µm
net1282,5.12µm
net1411,5.12µm
net1514,5.12µm
_04758_,5.1µm
_00053_,5.095µm
_00193_,5.095µm
_00379_,5.095µm
_00682_,5.095µm
_00101_,5.085µm
_00275_,5.085µm
_00335_,5.085µm
_00397_,5.085µm
_00399_,5.085µm
_00703_,5.085µm
net879,5.085µm
_02871_,5.075µm
_05299_,5.07µm
m_axis_tdata[18],5.07µm
_01267_,5.06µm
_03123_,5.06µm
_06137_,5.06µm
_06420_,5.06µm
net951,5.06µm
net1119,5.06µm
net1262,5.06µm
net1770,5.06µm
_00474_,5.045µm
_00564_,5.045µm
_00851_,5.045µm
_00967_,5.045µm
_01098_,5.045µm
net893,5.045µm
net1218,5.045µm
_01252_,5.04µm
_03344_,5.04µm
_04006_,5.04µm
_04521_,5.04µm
_04640_,5.04µm
_04656_,5.04µm
_05486_,5.04µm
net1228,5.04µm
_04749_,5.025µm
_05950_,5.025µm
_02136_,5.02µm
_02616_,5.02µm
_02628_,5.02µm
_02974_,5.02µm
_03860_,5.02µm
_04462_,5.02µm
_04662_,5.02µm
_04805_,5.02µm
_04815_,5.02µm
_05539_,5.02µm
_05564_,5.02µm
_05583_,5.02µm
_05637_,5.02µm
_05708_,5.02µm
_05987_,5.02µm
_06295_,5.02µm
u_interface.u_gelu_fp32.u_synth_top.s3_mult\[43\],5.02µm
net1170,5.02µm
net1696,5.02µm
_00705_,5.015µm
_03345_,5µm
_06336_,5µm
_00307_,4.975µm
_00622_,4.975µm
_03470_,4.97µm
net1657,4.965µm
s_axis_tdata[30],4.95µm
net831,4.95µm
_01894_,4.94µm
_03968_,4.94µm
_04876_,4.94µm
_04968_,4.94µm
_06133_,4.94µm
_06463_,4.94µm
net1727,4.94µm
net1760,4.94µm
_01154_,4.92µm
_01181_,4.92µm
_01830_,4.92µm
_01974_,4.92µm
_02409_,4.92µm
_02662_,4.92µm
_02717_,4.92µm
_02939_,4.92µm
_04037_,4.92µm
_04504_,4.92µm
_04566_,4.92µm
_04663_,4.92µm
_05180_,4.92µm
_05229_,4.92µm
_05266_,4.92µm
_05358_,4.92µm
_05410_,4.92µm
_05957_,4.92µm
_06044_,4.92µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s2_overflow,4.92µm
net949,4.92µm
net1576,4.92µm
net1767,4.92µm
_04515_,4.91µm
_05156_,4.91µm
_00849_,4.905µm
_03118_,4.905µm
_01814_,4.9µm
_02084_,4.9µm
_02753_,4.9µm
_03312_,4.9µm
_03682_,4.9µm
_03701_,4.9µm
_03761_,4.9µm
_04502_,4.9µm
_05008_,4.9µm
_05161_,4.9µm
_05492_,4.9µm
_05496_,4.9µm
_05568_,4.9µm
_05631_,4.9µm
u_interface.fifo_data\[9\]\[23\],4.9µm
u_interface.fifo_data\[9\]\[2\],4.9µm
u_interface.u_gelu_fp32.u_synth_top.s1_x\[0\],4.9µm
u_interface.u_gelu_fp32.u_synth_top.s1_x\[1\],4.9µm
_00491_,4.885µm
_00759_,4.885µm
net1640,4.885µm
_00900_,4.88µm
_01843_,4.88µm
_01845_,4.88µm
_02202_,4.88µm
_02289_,4.88µm
_02561_,4.88µm
_03041_,4.88µm
_03667_,4.88µm
_05343_,4.88µm
_05356_,4.88µm
_05896_,4.88µm
_06022_,4.88µm
_06194_,4.88µm
net929,4.88µm
net1639,4.88µm
m_axis_tdata[24],4.85µm
_00009_,4.845µm
_00134_,4.845µm
_00152_,4.845µm
_00292_,4.845µm
_00302_,4.845µm
_00337_,4.845µm
_00372_,4.845µm
_00395_,4.845µm
_00734_,4.845µm
_00975_,4.845µm
_01062_,4.845µm
_02034_,4.825µm
_01447_,4.82µm
_01968_,4.82µm
_02045_,4.82µm
_02423_,4.82µm
_04367_,4.82µm
_04838_,4.82µm
_05682_,4.82µm
_06419_,4.82µm
_06433_,4.82µm
_00581_,4.805µm
_00651_,4.805µm
_00777_,4.8µm
_00778_,4.8µm
_00783_,4.8µm
_00796_,4.8µm
_01003_,4.8µm
_01305_,4.8µm
_01483_,4.8µm
_01793_,4.8µm
_01849_,4.8µm
_01910_,4.8µm
_02400_,4.8µm
_02560_,4.8µm
_02631_,4.8µm
_03499_,4.8µm
_03555_,4.8µm
_03733_,4.8µm
_04349_,4.8µm
_04377_,4.8µm
_04545_,4.8µm
_04824_,4.8µm
_04924_,4.8µm
_05058_,4.8µm
_05137_,4.8µm
_05269_,4.8µm
_05672_,4.8µm
_06053_,4.8µm
_06465_,4.8µm
u_interface.u_gelu_fp32.u_synth_top.s1_x\[31\],4.8µm
net51,4.8µm
net79,4.8µm
net913,4.8µm
net916,4.8µm
net921,4.8µm
net1003,4.8µm
net1071,4.8µm
net1147,4.8µm
net1276,4.8µm
net1425,4.8µm
net1549,4.8µm
net1755,4.8µm
_01949_,4.78µm
_03873_,4.78µm
_04029_,4.78µm
_06471_,4.78µm
_04150_,4.775µm
net1745,4.77µm
_02307_,4.76µm
_03301_,4.76µm
_03756_,4.76µm
_06319_,4.76µm
net126,4.76µm
net1137,4.76µm
net1341,4.76µm
_00742_,4.755µm
_06118_,4.74µm
m_axis_tdata[23],4.73µm
_00138_,4.725µm
_00286_,4.725µm
net1580,4.725µm
_00818_,4.72µm
_03939_,4.71µm
_00915_,4.7µm
_00964_,4.7µm
_01721_,4.7µm
_01959_,4.7µm
_04185_,4.7µm
_05824_,4.7µm
net41,4.7µm
net973,4.7µm
net1318,4.7µm
net1573,4.7µm
net1624,4.7µm
net1695,4.7µm
net1700,4.7µm
_04570_,4.69µm
net105,4.69µm
_01478_,4.68µm
_01809_,4.68µm
_02367_,4.68µm
_02614_,4.68µm
_02931_,4.68µm
_04298_,4.68µm
_04822_,4.68µm
_05282_,4.68µm
_05846_,4.68µm
_06054_,4.68µm
_06188_,4.68µm
_06470_,4.68µm
_03649_,4.66µm
_04127_,4.66µm
_04800_,4.66µm
_05734_,4.66µm
net967,4.66µm
net1067,4.66µm
net1252,4.66µm
net1263,4.66µm
net1383,4.66µm
_00014_,4.635µm
_00076_,4.625µm
_00214_,4.625µm
_00219_,4.625µm
_00233_,4.625µm
_00356_,4.625µm
net833,4.61µm
net846,4.61µm
net863,4.61µm
net842,4.61µm
s_axis_tdata[23],4.61µm
_00185_,4.605µm
_00315_,4.605µm
_00417_,4.605µm
_02961_,4.6µm
_04090_,4.6µm
_05739_,4.6µm
_05818_,4.6µm
net1010,4.6µm
net1055,4.6µm
net1491,4.6µm
net1511,4.6µm
net1759,4.6µm
_00223_,4.585µm
_00319_,4.585µm
_00478_,4.585µm
net1554,4.585µm
_00800_,4.58µm
_01829_,4.58µm
_02394_,4.58µm
_03143_,4.58µm
_03348_,4.58µm
_03603_,4.58µm
_06326_,4.58µm
net1553,4.58µm
_01765_,4.56µm
_02300_,4.56µm
_02747_,4.56µm
_03539_,4.56µm
_03573_,4.56µm
_04526_,4.56µm
_05555_,4.56µm
_06025_,4.56µm
_06251_,4.56µm
u_interface.u_gelu_fp32.s2_data\[10\],4.56µm
net1628,4.56µm
_00873_,4.555µm
_01157_,4.54µm
_01246_,4.54µm
_03660_,4.54µm
_05002_,4.54µm
_06493_,4.54µm
_00813_,4.525µm
_00165_,4.505µm
_00398_,4.505µm
_00748_,4.505µm
net1717,4.505µm
_05439_,4.5µm
_00455_,4.485µm
_00461_,4.485µm
_00696_,4.485µm
_01474_,4.48µm
_01828_,4.48µm
_01939_,4.48µm
_02078_,4.48µm
_02480_,4.48µm
_02539_,4.48µm
_02554_,4.48µm
_03065_,4.48µm
_03900_,4.48µm
_04020_,4.48µm
_04043_,4.48µm
_04050_,4.48µm
_04100_,4.48µm
_04217_,4.48µm
_04434_,4.48µm
_04923_,4.48µm
_05037_,4.48µm
_05076_,4.48µm
_05656_,4.48µm
_05707_,4.48µm
_06048_,4.48µm
_06063_,4.48µm
_06070_,4.48µm
_06122_,4.48µm
_06128_,4.48µm
_06427_,4.48µm
_01970_,4.46µm
_02100_,4.46µm
_02243_,4.46µm
_02464_,4.46µm
_03249_,4.46µm
_03325_,4.46µm
_03675_,4.46µm
_03691_,4.46µm
_03948_,4.46µm
_04514_,4.46µm
_04724_,4.46µm
_05020_,4.46µm
_05235_,4.46µm
_05447_,4.46µm
_05451_,4.46µm
_05642_,4.46µm
_05681_,4.46µm
_05888_,4.46µm
_05961_,4.46µm
_06052_,4.46µm
_06143_,4.46µm
_06298_,4.46µm
u_interface.meta_tlast_pipe\[3\],4.46µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s1_valid,4.46µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s1_mag\[14\],4.46µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s2_clz\[1\],4.46µm
u_interface.u_gelu_fp32.u_synth_top.v_pipe\[1\],4.46µm
net1024,4.46µm
_00665_,4.445µm
_00979_,4.445µm
_06096_,4.445µm
_02494_,4.44µm
_02966_,4.44µm
_03137_,4.44µm
_03220_,4.44µm
_03238_,4.44µm
_03564_,4.44µm
_04355_,4.44µm
_04494_,4.44µm
_05404_,4.44µm
_05426_,4.44µm
_05597_,4.44µm
_05874_,4.44µm
_00059_,4.435µm
_00154_,4.425µm
_00758_,4.425µm
_00768_,4.425µm
_00872_,4.425µm
_00680_,4.42µm
_02061_,4.42µm
_02167_,4.42µm
_02504_,4.42µm
_03248_,4.42µm
_04583_,4.42µm
_06285_,4.42µm
_06498_,4.42µm
u_interface.fifo_data\[3\]\[1\],4.42µm
_00779_,4.405µm
_00786_,4.405µm
m_axis_tdata[17],4.39µm
m_axis_tdata[28],4.39µm
m_axis_tdata[5],4.39µm
_00114_,4.385µm
_00145_,4.385µm
_00294_,4.385µm
_00364_,4.385µm
_00615_,4.385µm
_01023_,4.385µm
_01049_,4.385µm
_04183_,4.38µm
_01456_,4.36µm
_01851_,4.36µm
_01912_,4.36µm
_01965_,4.36µm
_02668_,4.36µm
_03340_,4.36µm
_03529_,4.36µm
_04236_,4.36µm
_04309_,4.36µm
_04318_,4.36µm
_04774_,4.36µm
_05022_,4.36µm
_06204_,4.36µm
_06216_,4.36µm
_06229_,4.36µm
net1634,4.36µm
_02002_,4.345µm
_01553_,4.34µm
_02011_,4.34µm
_02067_,4.34µm
_02365_,4.34µm
_02385_,4.34µm
_02483_,4.34µm
_02626_,4.34µm
_02831_,4.34µm
_02842_,4.34µm
_02910_,4.34µm
_03282_,4.34µm
_03332_,4.34µm
_03518_,4.34µm
_03722_,4.34µm
_04118_,4.34µm
_04261_,4.34µm
_04307_,4.34µm
_04376_,4.34µm
_04401_,4.34µm
_04592_,4.34µm
_04723_,4.34µm
_04752_,4.34µm
_05052_,4.34µm
_05057_,4.34µm
_05168_,4.34µm
_05810_,4.34µm
_05833_,4.34µm
_05967_,4.34µm
_06001_,4.34µm
_06080_,4.34µm
_06333_,4.34µm
_06413_,4.34µm
net56,4.34µm
net85,4.34µm
net88,4.34µm
net121,4.34µm
net996,4.34µm
net1016,4.34µm
net1033,4.34µm
net1085,4.34µm
net1326,4.34µm
net1344,4.34µm
net1633,4.34µm
net1735,4.34µm
_00481_,4.325µm
_05889_,4.32µm
_00021_,4.295µm
_00725_,4.295µm
_01034_,4.295µm
_05160_,4.27µm
net841,4.27µm
_00148_,4.265µm
_00338_,4.265µm
_00483_,4.26µm
_00546_,4.24µm
_00571_,4.24µm
_00765_,4.24µm
_00766_,4.24µm
_00920_,4.24µm
_02130_,4.24µm
_03390_,4.24µm
_04361_,4.24µm
_04405_,4.24µm
_04601_,4.24µm
_05644_,4.24µm
_06277_,4.24µm
_06287_,4.24µm
net968,4.24µm
net1047,4.24µm
net1186,4.24µm
net1203,4.24µm
net1260,4.24µm
net1278,4.24µm
net1336,4.24µm
net1403,4.24µm
net1513,4.24µm
net1523,4.24µm
net1681,4.24µm
_02162_,4.22µm
_02915_,4.22µm
_04463_,4.22µm
_04473_,4.22µm
_04599_,4.22µm
_04818_,4.22µm
_05021_,4.22µm
_05055_,4.22µm
_05093_,4.22µm
_05253_,4.22µm
_05286_,4.22µm
_06170_,4.22µm
net1242,4.22µm
net1346,4.22µm
net1711,4.22µm
_04126_,4.2µm
_04909_,4.2µm
net1181,4.2µm
net1197,4.2µm
net1295,4.2µm
net1376,4.2µm
_00218_,4.195µm
_06321_,4.18µm
_00065_,4.165µm
_00123_,4.165µm
_00142_,4.165µm
_00144_,4.165µm
_00151_,4.165µm
_00276_,4.165µm
_00347_,4.165µm
_00348_,4.165µm
_00360_,4.165µm
_00057_,4.145µm
_00241_,4.145µm
_01555_,4.14µm
_03444_,4.14µm
_03676_,4.14µm
_03830_,4.14µm
_04110_,4.14µm
_06151_,4.14µm
net1092,4.14µm
net1479,4.14µm
net1703,4.14µm
_00328_,4.125µm
_01040_,4.125µm
_01940_,4.12µm
_03025_,4.12µm
_06191_,4.12µm
_06099_,4.105µm
_01495_,4.1µm
_03012_,4.1µm
_03052_,4.1µm
_03242_,4.1µm
_04104_,4.1µm
_04782_,4.1µm
_05236_,4.1µm
_01219_,4.08µm
_01366_,4.08µm
_02361_,4.08µm
_06020_,4.08µm
_02527_,4.06µm
_04315_,4.05µm
_00127_,4.045µm
_00442_,4.045µm
_00664_,4.04µm
_06324_,4.04µm
_01008_,4.02µm
_01283_,4.02µm
_01559_,4.02µm
_01928_,4.02µm
_01944_,4.02µm
_02363_,4.02µm
_02427_,4.02µm
_02714_,4.02µm
_03453_,4.02µm
_03742_,4.02µm
_04853_,4.02µm
_04973_,4.02µm
_05121_,4.02µm
_05886_,4.02µm
_06028_,4.02µm
_06334_,4.02µm
_06338_,4.02µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s3_valid,4.02µm
net1337,4.02µm
net1629,4.02µm
net1642,4.02µm
net1769,4.02µm
_00707_,4µm
_00884_,4µm
_00893_,4µm
_01017_,4µm
_01048_,4µm
_01182_,4µm
_01263_,4µm
_01934_,4µm
_02106_,4µm
_02305_,4µm
_02357_,4µm
_02391_,4µm
_02417_,4µm
_02484_,4µm
_02964_,4µm
_03481_,4µm
_03871_,4µm
_03962_,4µm
_04044_,4µm
_04274_,4µm
_04451_,4µm
_04482_,4µm
_04495_,4µm
_04792_,4µm
_04804_,4µm
_04864_,4µm
_05193_,4µm
_05230_,4µm
_05386_,4µm
_05392_,4µm
_05608_,4µm
_05811_,4µm
u_interface.meta_tlast_pipe\[7\],4µm
u_interface.meta_tlast_pipe\[9\],4µm
u_interface.u_gelu_fp32.s1_data\[15\],4µm
u_interface.u_gelu_fp32.s1_data\[7\],4µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s2_exp\[0\],4µm
u_interface.u_gelu_fp32.u_synth_top.s1_x\[2\],4µm
net915,4µm
net919,4µm
net1227,4µm
net1343,4µm
net1351,4µm
net1582,4µm
net1648,4µm
_00791_,3.995µm
_00524_,3.985µm
_02132_,3.98µm
_03272_,3.98µm
_04582_,3.98µm
_05431_,3.98µm
_06239_,3.98µm
_01036_,3.975µm
_02952_,3.975µm
_00479_,3.965µm
_00509_,3.965µm
_00816_,3.965µm
_00841_,3.965µm
_01043_,3.965µm
net850,3.93µm
net854,3.93µm
net855,3.93µm
net860,3.93µm
net835,3.93µm
_00047_,3.925µm
_00049_,3.925µm
_00073_,3.925µm
_00079_,3.925µm
_00081_,3.925µm
_00125_,3.925µm
_00133_,3.925µm
_00182_,3.925µm
_00232_,3.925µm
_00285_,3.925µm
_00405_,3.925µm
_00414_,3.925µm
_00591_,3.925µm
_00599_,3.925µm
_00606_,3.925µm
_00642_,3.925µm
_00676_,3.925µm
_00856_,3.925µm
_00925_,3.925µm
_01055_,3.925µm
_01060_,3.925µm
_01078_,3.925µm
net870,3.925µm
net936,3.925µm
net1676,3.925µm
_01001_,3.9µm
_01005_,3.9µm
_01930_,3.9µm
_01975_,3.9µm
_02090_,3.9µm
_02393_,3.9µm
_02458_,3.9µm
_02700_,3.9µm
_03323_,3.9µm
_03330_,3.9µm
_04707_,3.9µm
_04791_,3.9µm
_05711_,3.9µm
